Summary of No. of GGDEF domains in actinobacterial genomes,,,
Organism Name,No. of GGDEF domains,Flagllar gene set,Zoospore-forming
Acidipropionibacterium acidipropionici,0,No,No
Acidipropionibacterium jensenii,0,No,No
Acidipropionibacterium virtanenii,0,No,No
Acidothermus cellulolyticus,14,Yes,No
Actinoalloteichus fjordicus,13,No,No
Actinoalloteichus hoggarensis,13,No,No
Actinomyces gaoshouyii,0,No,No
Actinomyces howellii,0,No,No
Actinomyces israelii,0,No,No
Actinomyces pacaensis,0,No,No
Actinomyces qiguomingii,0,No,No
Actinomyces radicidentis,0,No,No
Actinomyces slackii,0,No,No
Actinomyces viscosus,0,No,No
Actinoplanes friuliensis,80,Yes,Yes
Actinoplanes missouriensis,54,Yes,Yes
Actinoplanes teichomyceticus,59,Yes,Yes
Actinopolyspora erythraea,18,No,No
Actinosynnema mirum,19,Yes,Yes
Actinosynnema pretiosum,19,Yes,Yes
Actinotignum schaalii,0,No,No
Aeromicrobium erythreum,6,No,No
Agromyces aureus,3,No,No
Agromyces protaetiae,1,No,No
Amycolatopsis albispora,12,No,No
Amycolatopsis japonica,16,No,No
Amycolatopsis keratiniphila,16,No,No
Amycolatopsis mediterranei,18,No,No
Amycolatopsis orientalis,16,No,No
Arcanobacterium haemolyticum,0,No,No
Arthrobacter agilis,8,Yes,No
Arthrobacter alpinus,0,No,No
Arthrobacter crystallopoietes,1,No,No
Arthrobacter dokdonellae,0,Yes,No
Aurantimicrobium minutum,0,No,No
Beutenbergia cavernae,0,No,No
Bifidobacterium actinocoloniiforme,0,No,No
Bifidobacterium adolescentis,0,No,No
Bifidobacterium angulatum,1,No,No
Bifidobacterium asteroides,0,No,No
Bifidobacterium breve,2,No,No
Bifidobacterium catenulatum,1,No,No
Bifidobacterium choerinum,0,No,No
Bifidobacterium coryneforme,0,No,No
Bifidobacterium dentium,0,No,No
Bifidobacterium eulemuris,0,No,No
Bifidobacterium indicum,0,No,No
Bifidobacterium lemurum,0,No,No
Bifidobacterium longum,0,No,No
Bifidobacterium pseudocatenulatum,3,No,No
Bifidobacterium pseudolongum,0,No,No
Bifidobacterium scardovii,0,No,No
Bifidobacterium subtile,0,No,No
Boudabousia tangfeifanii,0,No,No
Brachybacterium avium,0,No,No
Brachybacterium faecium,0,No,No
Brachybacterium ginsengisoli,0,No,No
Brachybacterium saurashtrense,0,No,No
Brachybacterium vulturis,0,No,No
Brevibacterium aurantiacum,0,No,No
Brevibacterium casei,0,No,No
Brevibacterium linens,0,No,No
Brevibacterium luteolum,0,No,No
Catenulispora acidiphila,14,No,No
Cellulomonas fimi,9,Yes,No
Cellulomonas flavigena,8,No,No
Cellulomonas gilvus,10,Yes,No
Cellulomonas shaoxiangyii,6,No,No
Cellulosimicrobium cellulans,0,Yes,No
Chryseoglobus indicus,0,No,No
Clavibacter michiganensis subsp. michiganensis,0,No,No
Cnuibacter physcomitrellae,3,No,No
Corynebacterium ammoniagenes,0,No,No
Corynebacterium aquilae,0,No,No
Corynebacterium argentoratense,0,No,No
Corynebacterium atypicum,0,No,No
Corynebacterium aurimucosum,0,No,No
Corynebacterium callunae,0,No,No
Corynebacterium camporealensis,0,No,No
Corynebacterium choanis,0,No,No
Corynebacterium crudilactis,0,No,No
Corynebacterium cystitidis,0,No,No
Corynebacterium deserti,0,No,No
Corynebacterium diphtheriae,0,No,No
Corynebacterium doosanense,0,No,No
Corynebacterium efficiens,0,No,No
Corynebacterium endometrii,0,No,No
Corynebacterium epidermidicanis,0,No,No
Corynebacterium flavescens,0,No,No
Corynebacterium frankenforstense,0,No,No
Corynebacterium geronticis,0,No,No
Corynebacterium glaucum,0,No,No
Corynebacterium glyciniphilum,0,No,No
Corynebacterium halotolerans,0,No,No
Corynebacterium imitans,0,No,No
Corynebacterium jeikeium,0,No,No
Corynebacterium kroppenstedtii,0,No,No
Corynebacterium kutscheri,0,No,No
Corynebacterium lactis,0,No,No
Corynebacterium marinum,0,No,No
Corynebacterium maris,1,No,No
Corynebacterium minutissimum,0,No,No
Corynebacterium mustelae,0,No,No
Corynebacterium nuruki,0,No,No
Corynebacterium pelargi,0,No,No
Corynebacterium phocae,0,No,No
Corynebacterium provencense,0,No,No
Corynebacterium pseudopelargi,0,No,No
Corynebacterium pseudotuberculosis,0,No,No
Corynebacterium renale,0,No,No
Corynebacterium resistens,0,No,No
Corynebacterium rouxii,0,No,No
Corynebacterium sanguinis,0,No,No
Corynebacterium simulans,0,No,No
Corynebacterium singulare,0,No,No
Corynebacterium sphenisci,0,No,No
Corynebacterium stationis,0,No,No
Corynebacterium suranareeae,0,No,No
Corynebacterium terpenotabidum,0,No,No
Corynebacterium testudinoris,0,No,No
Corynebacterium ulcerans,0,No,No
Corynebacterium urealyticum,0,No,No
Corynebacterium ureicelerivorans,0,No,No
Corynebacterium uterequi,0,No,No
Corynebacterium vitaeruminis,0,No,No
Corynebacterium xerosis,0,No,No
Cryobacterium soli,10,Yes,No
Cutibacterium acnes,0,No,No
Cutibacterium avidum,0,No,No
Cutibacterium granulosum,0,No,No
Dermabacter vaginalis,0,No,No
Dermatophilus congolensis,6,Yes,Yes
Devriesea agamarum,0,No,No
Dietzia lutea,0,No,No
Dietzia psychralcaliphila,0,No,No
Dietzia timorensis,0,No,No
Epidermidibacterium keratini,1,No,No
Flaviflexus salsibiostraticola,0,No,No
Frankia alni,16,No,No
Frankia casuarinae,12,No,No
Frankia inefficax,26,No,No
Geodermatophilus obscurus,26,Yes,Yes
Georgenia faecalis,1,No,No
Glutamicibacter arilaitensis,0,No,No
Glutamicibacter creatinolyticus,3,No,No
Glutamicibacter halophytocola,1,No,No
Glutamicibacter nicotianae,4,Yes,No
Gordonia alkanivorans,3,No,No
Gordonia bronchialis,1,No,No
Gordonia insulae,3,No,No
Gordonia iterans,0,No,No
Gordonia phthalatica,3,No,No
Gordonia polyisoprenivorans,8,No,No
Gordonia rubripertincta,2,No,No
Gryllotalpicola protaetiae,0,No,No
Hoyosella subflava,0,No,No
Intrasporangium calvum,0,No,No
Isoptericola dokdonensis,1,No,No
Isoptericola variabilis,0,No,No
Janibacter indicus,0,No,No
Janibacter melonis,0,No,No
Jonesia denitrificans,0,Yes,No
Kibdelosporangium phytohabitans,28,No,No
Kineococcus radiotolerans,71,Yes,Yes
Kitasatospora albolonga,6,No,No
Kitasatospora setae,6,No,No
Kocuria flava,0,No,No
Kocuria indica,0,No,No
Kocuria palustris,0,No,No
Kocuria rosea,0,No,No
Kribbella flavida,5,No,No
Kribbella qitaiheensis,8,No,No
Kutzneria albida,30,No,No
Lawsonella clevelandensis,0,No,No
Leifsonia xyli subsp. Cynodontis,0,No,No
Lentzea guizhouensis,24,No,No
Leucobacter denitrificans,3,No,No
Leucobacter muris,6,No,No
Leucobacter triazinivorans,5,No,No
Luteimicrobium xylanilyticum,0,No,No
Luteipulveratus mongoliensis,0,No,No
Marisediminicola antarctica,0,Yes,No
Microbacterium amylolyticum,0,No,No
Microbacterium aurum,0,No,No
Microbacterium endophyticum,1,No,No
Microbacterium foliorum,0,Yes,No
Microbacterium hominis,0,No,No
Microbacterium lemovicicum,1,No,No
Microbacterium oleivorans,0,No,No
Microbacterium oxydans,0,Yes,No
Microbacterium protaetiae,1,Yes,No
Microbacterium schleiferi,0,No,No
Microbacterium sediminis,2,Yes,No
Microbacterium wangchenii,0,No,No
Micrococcus luteus,0,No,No
Microlunatus phosphovorus,0,No,No
Micromonospora aurantiaca,15,No,No
Micromonospora carbonacea,17,No,No
Micromonospora craniellae,15,No,No
Micromonospora terminaliae,16,No,No
Micropruina glycogenica,0,No,No
Mobiluncus curtisii,0,Yes,No
Mycetocola zhujimingii,4,No,No
Mycobacterium avium subsp. hominissuis,7,No,No
Mycobacterium basiliense,0,No,No
Mycobacterium branderi,2,No,No
Mycobacterium canettii,1,No,No
Mycobacterium conspicuum,8,No,No
Mycobacterium cookii,10,No,No
Mycobacterium dioxanotrophicus,5,No,No
Mycobacterium florentinum,11,No,No
Mycobacterium gallinarum,5,No,No
Mycobacterium grossiae,12,No,No
Mycobacterium haemophilum,9,No,No
Mycobacterium heidelbergense,5,No,No
Mycobacterium intracellulare,6,No,No
Mycobacterium kansasii,2,No,No
